Level_of_schooling,subtype,Preschool_ind,gender,Late_opening,Healthy_canteen
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Central/Community School,Kinder to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 10,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 11 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 10,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 11 to Year 12,N,Coed,N,N
Other School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Boys,N,N
Secondary School,Year 7 to Year 12,N,Girls,N,N
Secondary School,Year 7 to Year 12,N,Boys,N,N
Secondary School,Year 7 to Year 10,N,Boys,N,N
Central/Community School,Kinder to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Girls,N,N
Secondary School,Year 7 to Year 12,N,Girls,N,N
Secondary School,Year 7 to Year 12,N,Boys,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Boys,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Girls,N,N
Secondary School,Year 7 to Year 10,N,Girls,N,N
Secondary School,Year 11 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 11 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Boys,N,N
Secondary School,Year 7 to Year 12,N,Boys,N,N
Secondary School,Year 7 to Year 12,N,Girls,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 10,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
